Ciclo,peso_prom,peso_total,dist_prom,dist_total,corriente_prom,temp_prom,energia_consumida_prom,SOH%
8712,226.12,1969990,174.82,1523051,0.63,25.31,0.11,80.0
8777,223.69,1963333,174.5,1531561,0.62,25.32,0.11,80.0
8671,226.64,1965160,175.18,1518972,0.63,25.32,0.12,80.0
8831,223.91,1977355,173.72,1534143,0.62,25.31,0.11,80.0
8774,224.19,1967010,174.6,1531976,0.62,25.3,0.11,80.0
8596,225.57,1938963,176.87,1520405,0.63,25.31,0.12,80.0
8689,225.38,1958283,175.21,1522383,0.63,25.32,0.12,80.0
8745,224.05,1959303,175.06,1530898,0.62,25.31,0.11,80.0
8627,224.94,1940567,176.38,1521618,0.63,25.3,0.12,80.0
8722,224.75,1960263,174.94,1525857,0.62,25.3,0.11,80.0
